row_index,run_id,graph_type,n,edge_u,edge_v,delta_obs,baseline_Kc_csv,new_Kc_csv,dK_da_pred,sign_match,Kc_from_continuation,Kc_refined,augment_res_norm,Hx_condition_number,linear_system_residual
249,1759451296_29,rgn,12,6,10,1.2799999999999727,3.7200000000000273,5.0,-0.14897772159529796,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,5.996098280319038e-15
250,1759451296_29,rgn,12,6,11,1.2799999999999727,3.7200000000000273,5.0,-0.09277686323024971,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.1180341099978276e-14
251,1759451296_29,rgn,12,7,10,0.3799999999999919,3.7200000000000273,4.100000000000019,2.500437544239317,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,1.0049012334505683e-14
252,1759451296_29,rgn,12,7,11,0.0099999999999997,3.7200000000000273,3.730000000000027,3.5354467769065696,True,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.282842693179092e-14
253,1759451296_29,rgn,12,9,10,1.2799999999999727,3.7200000000000273,5.0,-0.11787089949523909,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,5.6198997923783735e-15
254,1759451296_29,rgn,12,10,11,1.2799999999999727,3.7200000000000273,5.0,-0.0193411326066141,False,3.7200000000000273,3.719999999919071,1.343163105486529e-15,92997907030.11784,2.5649567996708414e-15
255,1759451327_30,rgn,17,0,9,0.1099999999999976,3.640000000000029,3.750000000000026,-2.13736274235699,False,3.640000000000029,3.64000009728196,3.0295345402747974e-15,545599335167.9378,2.2000396324324762e-14
256,1759451327_30,rgn,17,0,12,0.0099999999999997,3.640000000000029,3.6500000000000288,1.0619634989604274,True,3.640000000000029,3.64000009728196,3.0295345402747974e-15,545599335167.9378,8.265524631657959e-15
257,1759451327_30,rgn,17,3,9,0.1699999999999963,3.640000000000029,3.810000000000026,-1.8846482597062344,False,3.640000000000029,3.64000009728196,3.0295345402747974e-15,545599335167.9378,2.305560479435787e-14
258,1759451327_30,rgn,17,8,9,0.139999999999997,3.640000000000029,3.780000000000026,2.2810458867731978,True,3.640000000000029,3.64000009728196,3.0295345402747974e-15,545599335167.9378,1.6665818578846084e-14
259,1759451327_30,rgn,17,9,12,0.1799999999999961,3.640000000000029,3.820000000000025,2.9011602963858665,True,3.640000000000029,3.64000009728196,3.0295345402747974e-15,545599335167.9378,2.2071135147640773e-14
260,1759451327_30,rgn,17,9,16,0.1899999999999959,3.640000000000029,3.830000000000025,0.5175737373793505,True,3.640000000000029,3.64000009728196,3.0295345402747974e-15,545599335167.9378,1.3015036619855446e-14
261,1759451336_31,er,12,0,8,0.01,1.3600000000000634,1.3700000000000634,-0.004334105159000001,False,1.3600000000000634,1.3599999990869729,1.5254007170387011e-15,73713860104.3718,3.539979984466914e-16
262,1759451336_31,er,12,1,10,0.01,1.3600000000000634,1.3700000000000634,-0.0045131364857690865,False,1.3600000000000634,1.3599999990869729,1.5254007170387011e-15,73713860104.3718,5.558197181093757e-16
263,1759451336_31,er,12,2,6,0.04,1.3600000000000634,1.4000000000000634,0.20911599443325735,True,1.3600000000000634,1.3599999990869729,1.5254007170387011e-15,73713860104.3718,5.034639395159959e-15
264,1759451336_31,er,12,4,8,0.02,1.3600000000000634,1.3800000000000634,-0.045942592523043585,False,1.3600000000000634,1.3599999990869729,1.5254007170387011e-15,73713860104.3718,3.581804487490565e-15
265,1759451336_31,er,12,6,10,0.01,1.3600000000000634,1.3700000000000634,-0.018956130837844976,False,1.3600000000000634,1.3599999990869729,1.5254007170387011e-15,73713860104.3718,6.813888763251053e-15
266,1759451336_31,er,12,6,11,0.03,1.3600000000000634,1.3900000000000634,0.09255039994204817,True,1.3600000000000634,1.3599999990869729,1.5254007170387011e-15,73713860104.3718,6.37587811315604e-15
267,1759451336_31,er,12,9,10,0.01,1.3600000000000634,1.3700000000000634,0.00708669070235493,True,1.3600000000000634,1.3599999990869729,1.5254007170387011e-15,73713860104.3718,8.933521166288035e-16
268,1759451387_35,rgn,12,1,3,0.0199999999999995,2.3400000000000567,2.3600000000000563,0.06083740557594177,True,2.3400000000000567,2.3400000030246035,2.076087704219095e-15,66675119242.60776,1.021901698562268e-15
269,1759451387_35,rgn,12,2,3,0.089999999999998,2.3400000000000567,2.430000000000055,0.08395488529863464,True,2.3400000000000567,2.3400000030246035,2.076087704219095e-15,66675119242.60776,5.084507005300498e-15
270,1759451387_35,rgn,12,2,5,0.0399999999999991,2.3400000000000567,2.380000000000056,0.033790519131336086,True,2.3400000000000567,2.3400000030246035,2.076087704219095e-15,66675119242.60776,2.3035119722521406e-15
271,1759451387_35,rgn,12,3,8,0.1299999999999972,2.3400000000000567,2.470000000000054,0.18234749815295,True,2.3400000000000567,2.3400000030246035,2.076087704219095e-15,66675119242.60776,4.554144113458673e-15
272,1759451387_35,rgn,12,3,10,0.0399999999999991,2.3400000000000567,2.380000000000056,0.1290349179252577,True,2.3400000000000567,2.3400000030246035,2.076087704219095e-15,66675119242.60776,2.1716693478987287e-15
273,1759451387_35,rgn,12,5,8,0.0199999999999995,2.3400000000000567,2.3600000000000563,0.03708751807790604,True,2.3400000000000567,2.3400000030246035,2.076087704219095e-15,66675119242.60776,9.18083063625272e-16
274,1759451387_35,rgn,12,6,8,0.0199999999999995,2.3400000000000567,2.3600000000000563,0.03346196269624036,True,2.3400000000000567,2.3400000030246035,2.076087704219095e-15,66675119242.60776,6.256485050928462e-16
275,1759451482_38,er,16,0,9,0.01,0.6900000000000628,0.7000000000000628,-0.7479165550248922,False,0.6900000000000628,0.689999999814133,9.770306718890674e-16,89817155310.32654,1.2783740879089166e-14
276,1759451482_38,er,16,3,9,0.01,0.6900000000000628,0.7000000000000628,-0.009443034461574275,False,0.6900000000000628,0.689999999814133,9.770306718890674e-16,89817155310.32654,1.9412308960333108e-15
277,1759451578_40,er,17,0,9,0.01,0.6000000000000627,0.6100000000000627,-0.04148585860108371,False,0.6000000000000627,0.6000000001096836,7.413477578253598e-16,281070368570.41345,3.067325822060151e-15
278,1759451578_40,er,17,6,9,0.01,0.6000000000000627,0.6100000000000627,0.00026609789345474896,True,0.6000000000000627,0.6000000001096836,7.413477578253598e-16,281070368570.41345,4.569456231033467e-16
279,1759451578_40,er,17,7,9,0.01,0.6000000000000627,0.6100000000000627,0.00368518445922942,True,0.6000000000000627,0.6000000001096836,7.413477578253598e-16,281070368570.41345,3.009591360093038e-15
