K,r,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11
2.5230000000000525,0.9979144344233363,0.0,-0.08924825483496984,0.00974506243520475,-0.14842942596470987,-0.059394850301980995,-0.12701548163799253,0.010023210067107336,-0.05154124937584804,-0.06201572834817492,-0.1290754761386531,-0.06680801701098789,-0.20858943438527094
2.5240000000000524,0.997916095559471,0.0,-0.08921274210381247,0.009741161796252907,-0.14837031602124498,-0.05937113583699218,-0.1269648910569049,0.010019219804636222,-0.05152071735068262,-0.061990971830651304,-0.12902406208323197,-0.06678136084001246,-0.20850620617863144
2.5250000000000523,0.9979177547081908,0.0,-0.08917725768465128,0.009737264294534947,-0.14831125326028607,-0.059347440374580944,-0.1269143408681714,0.010015232725605103,-0.051500201722351834,-0.0619662351454931,-0.12897268908128814,-0.06675472600720277,-0.2084230445991353
2.526000000000052,0.9979194118726701,0.0,-0.08914180154356856,0.009733369926248802,-0.14825223762521617,-0.05932376389182796,-0.1268638310233067,0.010011248826196872,-0.05147970247116722,-0.06194151826878841,-0.1289213570835366,-0.06672811248685677,-0.2083399495665223
2.527000000000052,0.9979210670560779,0.0,-0.0891063736467012,0.009729478687598048,-0.14819326905950939,-0.05930010636585134,-0.1268133614739035,0.010007268102600114,-0.05145921957747246,-0.06191682117666446,-0.12887006604077197,-0.0667015202533145,-0.20825692100066226
2.528000000000052,0.9979227202615759,0.0,-0.08907097396023986,0.00972559057479293,-0.14813434750673,-0.05927646777380556,-0.12676293217163176,0.010003290551010005,-0.05143875302164215,-0.06189214384528625,-0.12881881590386698,-0.06667494928095646,-0.2081739588215531
2.529000000000052,0.9979243714923204,0.0,-0.08903560245042956,0.009721705584049509,-0.14807547291053305,-0.05925284809288235,-0.12671254306823918,0.009999316167627472,-0.05141830278408285,-0.06186748625085783,-0.12876760662377382,-0.06664839954420514,-0.20809106294932245
2.5300000000000518,0.9979260207514603,0.0,-0.0890002590835691,0.009717823711590136,-0.1480166452146636,-0.05922924730030997,-0.12666219411555055,0.009995344948659737,-0.051397868845232196,-0.061842848369621124,-0.12871643815152276,-0.06662187101752368,-0.20800823330422588
2.5310000000000517,0.99792766804214,0.0,-0.08896494382601113,0.009713944953643342,-0.14795786436295683,-0.05920566537335333,-0.12661188526546793,0.009991376890320007,-0.05137745118555923,-0.06181823017785646,-0.12866531043822269,-0.06659536367541641,-0.20792546980664722
2.5320000000000515,0.9979293133674956,0.0,-0.08892965664416225,0.009710069306443395,-0.14789913029933807,-0.059182102289314406,-0.1265616164699706,0.009987411988827298,-0.051357049785564664,-0.06179363165188272,-0.12861422343506118,-0.06656887749242908,-0.2078427723770991
2.5330000000000514,0.9979309567306579,0.0,-0.08889439750448232,0.009706196766231256,-0.14784044296782176,-0.0591585580255309,-0.1265113876811141,0.009983450240407256,-0.05133666462577966,-0.06176905276805609,-0.12856317709330303,-0.06654241244314751,-0.2077601409362207
2.5340000000000513,0.9979325981347517,0.0,-0.08885916637348498,0.00970232732925352,-0.14778180231251234,-0.05913503255937765,-0.12646119885103124,0.009979491641291013,-0.051316295686767176,-0.06174449350277147,-0.1285121713642918,-0.06651596850219903,-0.2076775754047796
2.535000000000051,0.9979342375828951,0.0,-0.08882396321773722,0.009698460991762988,-0.1477232082776034,-0.059111525868265624,-0.12641104993193106,0.009975536187715961,-0.051295942949121,-0.06171995383246139,-0.12846120619944856,-0.06648954564425145,-0.2075950757036703
2.536000000000051,0.9979358750782004,0.0,-0.08878878800385934,0.009694597750018547,-0.1476646608073778,-0.05908803792964219,-0.12636094087609906,0.009971583875925408,-0.05127560639346605,-0.061695433733596435,-0.1284102815502721,-0.06646314384401333,-0.20751264175391443
2.537000000000051,0.9979375106237733,0.0,-0.08875364069852482,0.009690737600285047,-0.14760615984620723,-0.05906456872099088,-0.12631087163589708,0.009967634702168687,-0.05125528600045816,-0.061670933182684864,-0.1283593973683386,-0.06643676307623375,-0.20743027347666024
2.538000000000051,0.9979391442227132,0.0,-0.08871852126846029,0.009686880538833419,-0.14754770533855235,-0.05904111821983152,-0.12626084216376288,0.009963688662701097,-0.051234981750784114,-0.061646452156272756,-0.12830855360530177,-0.06641040331570233,-0.20734797079318254
2.5390000000000508,0.9979407758781139,0.0,-0.08868342968044525,0.009683026561940712,-0.1474892972289622,-0.05901768640371978,-0.12621085241221014,0.009959745753784055,-0.05121469362516135,-0.06162199063094356,-0.12825775021289224,-0.0663840645372489,-0.20726573362488213
2.5400000000000507,0.9979424055930629,0.0,-0.08864836590131218,0.00967917566588986,-0.14743093546207456,-0.05899427325024764,-0.12616090233382846,0.009955805971684705,-0.05119442160433837,-0.06159754858331869,-0.12820698714291798,-0.06635774671574401,-0.20718356189328618
2.5410000000000506,0.9979440333706412,0.0,-0.08861332989794632,0.009675327846969829,-0.14737261998261522,-0.05897087873704286,-0.12611099188128294,0.009951869312676285,-0.051174165669094204,-0.06157312599005679,-0.12815626434726365,-0.06633144982609815,-0.20710145552004727
