K,r,eigval_0,eigval_1,eigval_2,eigval_3,eigval_4,eigval_5,eigval_6,eigval_7,eigval_8,eigval_9
2.781000000000024,0.9948265496085884,-17.53715465687355,-15.650805545917738,-14.785410101693792,-13.803768484283182,-11.633321646637313,-10.431239670456794,-7.020793053615097,-6.213953552808442,-2.439075097474416,-3.235149339283243e-15
2.782000000000024,0.9948302902338121,-17.54352315085238,-15.65649893519079,-14.790768538505937,-13.808805356946007,-11.63756544394848,-10.435033207240334,-7.023358745363326,-6.2162253819016,-2.4399616552345593,-1.4926847739642218e-15
2.783000000000024,0.9948340267952671,-17.54989162208148,-15.6621923008797,-14.796126960258649,-13.81384220259611,-11.641809218748167,-10.438826728257618,-7.02592442239469,-6.218497195925049,-2.4408482093281427,6.3151530086713535e-15
2.784000000000024,0.9948377592988499,-17.556260070585708,-15.667885643009882,-14.8014853669682,-13.818879021263328,-11.646052971061419,-10.442620233526137,-7.028490084724923,-6.220768994896903,-2.441734759759417,4.771024654978168e-16
2.7850000000000237,0.9948414877504462,-17.562628496389912,-15.67357896160671,-14.806843758650857,-13.823915812977441,-11.650296700913248,-10.446413723063342,-7.03105573236974,-6.223040778835259,-2.4426213065325957,-2.776580584540351e-15
2.7860000000000236,0.9948452121559317,-17.56899689951888,-15.679272256695528,-14.812202135322849,-13.828952577768197,-11.654540408328613,-10.45020719688666,-7.033621365344843,-6.225312547758164,-2.443507849651934,2.6187338325115556e-15
2.7870000000000235,0.9948489325211707,-17.575365279997367,-15.684965528301637,-14.817560497000395,-13.833989315665299,-11.65878409333247,-10.454000655013505,-7.036186983665896,-6.227584301683654,-2.444394389121626,-2.595895565498338e-15
2.7880000000000233,0.9948526488520167,-17.581733637850114,-15.690658776450318,-14.822918843699698,-13.83902602669841,-11.66302775594971,-10.45779409746126,-7.0387525873485455,-6.22985604062973,-2.445280924945885,2.631888539802674e-15
2.7890000000000232,0.9948563611543138,-17.588101973101807,-15.696352001166797,-14.828277175436915,-13.84406271089713,-11.66727139620519,-10.461587524247275,-7.041318176408417,-6.232127764614366,-2.4461674571289302,-4.3246053049585315e-16
2.790000000000023,0.9948600694338938,-17.594470285777096,-15.702045202476274,-14.833635492228195,-13.849099368291046,-11.671515014123738,-10.465380935388895,-7.0438837508611405,-6.234399473655505,-2.44705398567495,-5.2439218417668385e-15
2.791000000000023,0.9948637736965795,-17.600838575900607,-15.707738380403907,-14.838993794089658,-13.854135998909669,-11.675758609730147,-10.469174330903392,-7.046449310722258,-6.236671167771057,-2.447940510588146,2.1889187101982904e-15
2.792000000000023,0.9948674739481822,-17.6072068434969,-15.713431534974829,-14.844352081037407,-13.859172602782502,-11.680002183049162,-10.472967710808087,-7.049014856007356,-6.238942846978899,-2.448827031872699,-3.5481051020712396e-15
