K,r,converged,min_eigval,max_eigval,max_real,num_unstable,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
2.7310000000000296,0.9962563179010026,True,-18.463133428916695,1.0357650147160369e-15,-2.6099606409241187,0,0.0,-0.11546388728236556,-0.021473724543635744,-0.18543713934457523,-0.09815936341301598,-0.1835237616058758,-0.017111082067075737,-0.11951691117550903,-0.0666252799448141,-0.29218307541182315
2.7320000000000295,0.9962590793682844,True,-18.469966372020597,-6.653975214839694e-16,-2.610928643671163,0,0.0,-0.11542140288451339,-0.021465831907090623,-0.18536888203006588,-0.0981232188342715,-0.1834561937041072,-0.017104881566464475,-0.11947300621314223,-0.06660098114249967,-0.2920750617214226
2.7330000000000294,0.9962618377730803,True,-18.476799288134583,-5.1164066076483635e-15,-2.6118966415890643,0,0.0,-0.11537894982162351,-0.021457945082853987,-0.1853006750890845,-0.09808710094490225,-0.18338867568374356,-0.01709868553308433,-0.11942913355570665,-0.0665767000217763,-0.29196712827176297
2.7340000000000293,0.9962645931199295,True,-18.483632177288854,-2.8825341250272472e-15,-2.612864634683496,0,0.0,-0.11533652805894898,-0.02145006406449309,-0.1852325184657291,-0.0980510097152673,-0.1833212074894041,-0.017092493962138838,-0.11938529316749358,-0.06655243656339493,-0.2918592749729939
2.735000000000029,0.9962673454133629,True,-18.490465039513552,-2.979580269068174e-16,-2.6138326229601287,0,0.0,-0.11529413756179441,-0.021442188845584853,-0.18516441210418091,-0.0980149451157699,-0.18325378906579043,-0.01708630684883856,-0.11934148501284726,-0.06652819074813454,-0.2917515017354001
2.736000000000029,0.9962700946579024,True,-18.497297874838797,3.800073104316347e-15,-2.614800606424613,0,0.0,-0.11525177829551578,-0.02143431941971562,-0.18509635594870374,-0.09797890711685717,-0.18318642035768615,-0.01708012418840081,-0.11929770905616445,-0.06650396255680188,-0.29164380846940086
2.737000000000029,0.9962728408580621,True,-18.504130683294655,-3.4251906884756366e-15,-2.6157685850826007,0,0.0,-0.11520945022552034,-0.021426455780481187,-0.18502834994364398,-0.09794289568901995,-0.18311910130995668,-0.01707394597604949,-0.11925396526189433,-0.0664797519702313,-0.29153619508554957
2.738000000000029,0.9962755840183475,True,-18.510963464911146,-2.5282894222675728e-15,-2.616736558939726,0,0.0,-0.11516715331726668,-0.021418597921486992,-0.18496039403343073,-0.09790691080279317,-0.18305183186754936,-0.017067772207015684,-0.11921025359453877,-0.06645555896928523,-0.2914286614945341
2.7390000000000287,0.9962783241432557,True,-18.517796219718228,-1.3407353507396547e-15,-2.6177045280016094,0,0.0,-0.11512488753626426,-0.021410745836347545,-0.184892488162575,-0.09787095242875503,-0.18298461197549284,-0.017061602876536828,-0.11916657401865159,-0.0664313835348533,-0.2913212076071756
2.7400000000000286,0.9962810612372761,True,-18.524628947745857,2.0488578551001123e-16,-2.618672492273879,0,0.0,-0.1150826528480738,-0.021402899518687173,-0.18482463227567036,-0.09783502053752763,-0.18291744157889744,-0.017055437979857348,-0.1191229264988391,-0.06640722564785304,-0.2912138333344292
