K,r,eigval_no_gauge_0,eigval_no_gauge_1,eigval_no_gauge_2,eigval_no_gauge_3,eigval_no_gauge_4,eigval_no_gauge_5,eigval_no_gauge_6,eigval_no_gauge_7,eigval_no_gauge_8,eigval_no_gauge_9,eigval_no_gauge_10
1.0400000000002159,0.9797661819548902,-7.4813266291007245,-6.706126700237567,-5.377857274291709,-4.724790856969654,-4.439324280663097,-4.266833440535657,-3.379432206121399,-3.1534690682849646,-2.237493605027026,-1.8157982279928806,-0.836847302419419
1.0410000000002158,0.97980671986748,-7.488897513571658,-6.71307715660991,-5.3832559852765165,-4.729581041900537,-4.443794740883656,-4.27117117723247,-3.3829738111563747,-3.1566822458893995,-2.2398840952398387,-1.8176460273550517,-0.8377153804842118
1.0420000000002156,0.9798471341482387,-7.496468024240735,-6.720027063218924,-5.388654464727192,-4.734370993239226,-4.448264987902439,-4.275508629140756,-3.3865150581799948,-3.1598952165536107,-2.242274300320895,-1.8194937042422759,-0.838583379518859
1.0430000000002155,0.9798874253077978,-7.504038162233217,-6.726976421859761,-5.394052713356657,-4.739160711630299,-4.452735022402065,-4.279845797283291,-3.390055948458925,-3.1631079809968443,-2.244664221278444,-1.8213412590920588,-0.8394512998143822
1.0440000000002154,0.9799275938541092,-7.511607928669736,-6.733925234319565,-5.399450731874819,-4.743950197716065,-4.457204845062133,-4.284182682677772,-3.3935964832538117,-3.166320539934799,-2.247053859115819,-1.8231886923397418,-0.8403191416603065
1.0450000000002153,0.9799676402924618,-7.5191773246662965,-6.740873502377521,-5.404848520988598,-4.748739452136598,-4.461674456559246,-4.288519286336864,-3.3971366638193166,-3.169532894079688,-2.2494432148314534,-1.8250360044185188,-0.8411869053446982
1.0460000000002152,0.9800075651254991,-7.526746351334294,-6.7478212278049154,-5.410246081401941,-4.753528475529726,-4.466143857567026,-4.292855609268235,-3.4006764914041536,-3.1727450441402105,-2.251832289418941,-1.8268831957594531,-0.8420545911541464
1.047000000000215,0.9800473688532352,-7.53431500978057,-6.754768412365152,-5.415643413815831,-4.758317268531049,-4.4706130487561175,-4.297191652474561,-3.404215967251102,-3.17595699082162,-2.254221083867042,-1.8287302667914704,-0.8429221993737859
1.048000000000215,0.9800870519730723,-7.5418833011074335,-6.761715057813816,-5.421040518928311,-4.763105831773945,-4.475082030794236,-4.301527416953582,-3.407755092597075,-3.179168734825713,-2.2566095991597126,-1.8305772179414055,-0.8437897302873054
1.0490000000002149,0.9801266149798177,-7.549451226412666,-6.768661165898742,-5.426437397434494,-4.767894165889584,-4.479550804346143,-4.305862903698131,-3.4112938686731282,-3.1823802768508775,-2.2589978362761514,-1.8324240496339774,-0.844657184176956
1.0500000000002148,0.9801660583656987,-7.557018786789534,-6.775606738359989,-5.4318340500265965,-4.772682271506929,-4.484019370073697,-4.310198113696151,-3.4148322967045126,-3.1855916175920918,-2.2613857961908246,-1.834270762291844,-0.8455245613235546
1.0510000000002147,0.9802053826203813,-7.564585983326856,-6.782551776929967,-5.437230477393918,-4.777470149252755,-4.488487728635857,-4.314533047930744,-3.41837037791069,-3.1888027577409734,-2.263773479873475,-1.8361173563355775,-0.8463918620065177
